,Estradiol_level,Estrone_level,BM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-5),BM_Gemella,BM_Fretibacterium,BM_Megasphaera,BM_Lancefieldella,BM_Pseudoleptotrichia,BM_Aggregatibacter,BM_Kingella,BM_Haemophilus,BM_Peptostreptococcaceae_(G-7),BM_Granulicatella,BM_Campylobacter,BM_Fusobacterium,BM_Actinomyces,BM_Lautropia,BM_Peptococcus,BM_Lachnospiraceae_(G-2),BM_Absconditabacteria_(SR1)_Absconditabacteria_(SR1)_(G-1),BM_Bacteroidetes_(G-5),BM_Capnocytophaga,BM_Rothia,BM_Lactobacillus,BM_Peptostreptococcaceae_(G-9),BM_Bacteroidales_(G-2),BM_Leptotrichia,BM_Porphyromonas,BM_Ruminococcaceae_(G-2),BM_Peptidiphaga,BM_Stomatobaculum,BM_Lachnospiraceae_(G-3),BM_Abiotrophia,BM_Solobacterium,BM_Dialister,BM_Veillonella,BM_Peptostreptococcaceae_(G-1),BM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-1),BM_Alloprevotella,BM_Riemerella,BM_Olsenella,BM_Filifactor,BM_Lachnoanaerobaculum,BM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-3),BM_Corynebacterium,BM_Selenomonas,BM_Oribacterium,BM_Streptococcus,BM_Neisseriaceae,BM_Veillonellaceae_(G-1),BM_Cardiobacterium,BM_Prevotella,BM_Neisseria,BM_Peptostreptococcus,BM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-6),BM_Tannerella,BM_Treponema,BM_Ruminococcaceae_(G-1),GM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-5),GM_Gemella,GM_Fretibacterium,GM_Megasphaera,GM_Lancefieldella,GM_Pseudoleptotrichia,GM_Aggregatibacter,GM_Kingella,GM_Haemophilus,GM_Peptostreptococcaceae_(G-7),GM_Granulicatella,GM_Campylobacter,GM_Fusobacterium,GM_Actinomyces,GM_Lautropia,GM_Peptococcus,GM_Lachnospiraceae_(G-2),GM_Absconditabacteria_(SR1)_Absconditabacteria_(SR1)_(G-1),GM_Bacteroidetes_(G-5),GM_Capnocytophaga,GM_Rothia,GM_Lactobacillus,GM_Peptostreptococcaceae_(G-9),GM_Bacteroidales_(G-2),GM_Leptotrichia,GM_Porphyromonas,GM_Ruminococcaceae_(G-2),GM_Peptidiphaga,GM_Stomatobaculum,GM_Lachnospiraceae_(G-3),GM_Abiotrophia,GM_Solobacterium,GM_Dialister,GM_Veillonella,GM_Peptostreptococcaceae_(G-1),GM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-1),GM_Alloprevotella,GM_Riemerella,GM_Olsenella,GM_Filifactor,GM_Lachnoanaerobaculum,GM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-3),GM_Corynebacterium,GM_Selenomonas,GM_Oribacterium,GM_Streptococcus,GM_Neisseriaceae,GM_Veillonellaceae_(G-1),GM_Cardiobacterium,GM_Prevotella,GM_Neisseria,GM_Peptostreptococcus,GM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-6),GM_Tannerella,GM_Treponema,GM_Ruminococcaceae_(G-1),TG_Gemella,TG_Megasphaera,TG_Lancefieldella,TG_Pseudoleptotrichia,TG_Kingella,TG_Haemophilus,TG_Granulicatella,TG_Campylobacter,TG_Fusobacterium,TG_Actinomyces,TG_Lautropia,TG_Peptococcus,TG_Lachnospiraceae_(G-2),TG_Absconditabacteria_(SR1)_Absconditabacteria_(SR1)_(G-1),TG_Capnocytophaga,TG_Rothia,TG_Lactobacillus,TG_Leptotrichia,TG_Porphyromonas,TG_Ruminococcaceae_(G-2),TG_Stomatobaculum,TG_Lachnospiraceae_(G-3),TG_Abiotrophia,TG_Solobacterium,TG_Veillonella,TG_Peptostreptococcaceae_(G-1),TG_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-1),TG_Alloprevotella,TG_Riemerella,TG_Filifactor,TG_Lachnoanaerobaculum,TG_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-3),TG_Corynebacterium,TG_Selenomonas,TG_Oribacterium,TG_Streptococcus,TG_Neisseriaceae,TG_Cardiobacterium,TG_Prevotella,TG_Neisseria,TG_Peptostreptococcus,TG_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-6),TG_Tannerella,TG_Treponema,TG_Ruminococcaceae_(G-1),TH_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-5),TH_Gemella,TH_Fretibacterium,TH_Megasphaera,TH_Lancefieldella,TH_Pseudoleptotrichia,TH_Aggregatibacter,TH_Kingella,TH_Haemophilus,TH_Peptostreptococcaceae_(G-7),TH_Granulicatella,TH_Campylobacter,TH_Fusobacterium,TH_Actinomyces,TH_Lautropia,TH_Peptococcus,TH_Lachnospiraceae_(G-2),TH_Absconditabacteria_(SR1)_Absconditabacteria_(SR1)_(G-1),TH_Bacteroidetes_(G-5),TH_Capnocytophaga,TH_Rothia,TH_Lactobacillus,TH_Peptostreptococcaceae_(G-9),TH_Bacteroidales_(G-2),TH_Leptotrichia,TH_Porphyromonas,TH_Peptidiphaga,TH_Stomatobaculum,TH_Lachnospiraceae_(G-3),TH_Abiotrophia,TH_Solobacterium,TH_Dialister,TH_Veillonella,TH_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-1),TH_Alloprevotella,TH_Riemerella,TH_Olsenella,TH_Filifactor,TH_Lachnoanaerobaculum,TH_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-3),TH_Corynebacterium,TH_Selenomonas,TH_Oribacterium,TH_Streptococcus,TH_Neisseriaceae,TH_Veillonellaceae_(G-1),TH_Cardiobacterium,TH_Prevotella,TH_Neisseria,TH_Peptostreptococcus,TH_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-6),TH_Tannerella,TH_Treponema,TH_Ruminococcaceae_(G-1)
Estradiol_level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46583474509691686,0.0,0.0,0.0,-0.4202137655404349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estrone_level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.428528533092506,-0.48159711425069407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4933232137071984,0.0,0.0,0.0,0.0,0.411405199190122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006414703226094,0.0,0.0,0.0,0.0,0.0,0.5172147325558579,0.5764352107336438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47896727504885767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42199814594047363,0.0,0.0,0.0,0.0,0.44657699302804404,0.0,0.0,0.42492626580752735,0.0,0.0,0.0,0.47028775197437517,0.0,0.0,0.4790666123362854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42194962432525696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41975499630078006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Saccharibacteria_(TM7)_Saccharibacteria_(TM7)_(G-5),0.0,0.0,0.0,0.0,0.512949600824155,0.0,0.7986705096988658,0.4935890855144253,0.0,0.0,0.0,0.0,0.0,0.0,0.5370529792619226,0.0,0.0,0.0,0.0,0.0,0.4247333727354043,0.0,0.0,0.0,0.0,0.45220038066328583,0.7459443673363194,0.0,0.0,0.6364630218236746,0.0,0.0,0.0,0.0,0.7370168623573182,0.0,0.6001756653966519,0.45499817575008944,0.4469589690637089,0.0,0.892433402225211,0.0,0.0,0.0,0.45374610214381067,0.5498491992852775,0.49967651382820616,-0.5049278792033491,0.0,0.45472244907423226,0.0,0.6853465678740629,0.0,0.5796990546066572,0.0,0.6970442997775876,0.5830319350990031,0.47652102537466023,0.0,0.5488151175343801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541807055474241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586143442224191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595385988199892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Gemella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4628956616260979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193200288999764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48701938464680006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131588226999804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6455159615150261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452323376346493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45016053680077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Fretibacterium,0.0,0.0,0.512949600824155,0.0,0.0,0.0,0.6371091299745316,0.0,0.0,0.0,0.0,0.9135348324460395,0.0,0.0,0.4388221063681127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974029261138972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8326998150668624,0.0,0.0,0.0,0.801625910231996,0.0,0.8056072480830931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853781964210531,0.0,0.0,0.0,0.46641008619317686,0.0,0.0,0.962659524710569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129137164516922,0.0,0.0,0.0,0.0,0.0,0.9757473519752422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48784562404724835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4476704495856771,0.0,0.0,0.0
BM_Megasphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4241002511117749,0.0,0.0,0.0,0.5027154794777715,0.0,0.0,0.0,0.5990135485765314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949889036957526,0.0,0.0,0.6510555780042371,0.0,0.0,0.0,0.6719496884951455,0.0,0.0,0.0,0.5741370135514198,0.0,0.5499927801789779,0.0,0.4033058708220825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5422573355734877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149111674394693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454958828607249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4823925304173326,0.0,0.5645828309333019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47634421813597766,0.41838636109795135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4533427312208895,0.0,0.0,0.0,0.0,0.8056425099256331,0.5307590221894285,0.0,0.0,0.0,0.0,0.0,0.5088589962241736,0.0,0.5505700156512671,0.0,0.0,0.0,0.0,0.0,0.4252978901337293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Lancefieldella,0.0,0.0,0.7986705096988658,0.0,0.6371091299745316,0.0,0.0,0.0,0.0,0.0,0.0,0.6442240897387815,0.0,0.5562127397681582,0.5352260575871838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5242774793489722,0.5256408782440114,0.0,0.0,0.5146460350520666,0.0,0.0,0.0,0.0,0.7414216923077168,0.0,0.0,0.5634426700866612,0.5969275584742093,0.0,0.8394482613060562,0.0,0.42601035773046914,0.0,0.0,0.7452034637231897,0.6055490993981405,-0.5642559990127123,0.0,0.6023405216996147,0.0,0.6432246944903691,0.0,0.7019408914682617,0.0,0.4707691590734394,0.6344596738470717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4033848090622235,0.0,0.0,0.0,0.0,0.0,0.5337934698221453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583065403227044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811806435099569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455423374116524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45406452683776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Pseudoleptotrichia,0.0,0.0,0.4935890855144253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40126586463068387,0.5730581698787705,0.0,0.0,0.0,0.6485246401285895,0.5368469566442707,0.6476642833336631,0.0,0.0,0.0,0.0,0.0,0.7181693292109141,0.0,0.0,0.5328945579176162,0.4078263403367875,0.0,0.0,0.0,0.0,0.0,0.9227236074128279,0.0,0.0,0.0,0.0,0.0,0.49247829947082916,0.0,0.0,0.0,0.0,-0.4990623252366432,0.0,0.0,0.0,0.5894838468249758,0.0,0.0,0.0,0.5515349330029088,0.0,0.0,0.0,0.5023120061470617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190115557497103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586258881330636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4371774368266325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411803907259877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568814282408031,0.0,0.0,0.0,0.0,0.0,0.53051761399811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4171967401525625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698511203507008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48504958829612466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BM_Kingella,0.0,0.0,0.0,0.0,0.0,0.4241002511117749,0.0,0.0,0.6568814282408031,0.0,0.0,0.0,0.0,0.0,0.0,0.5930569855349503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48019519121322907,0.0,0.4824555884645348,0.42182861440254976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48339416792146167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4587185257310263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4011036308501996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
